Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
# ===== CALTEC ビルド鋼材システム - 製品検査表 デモ =====,,,,,,,,,,,
# 工事情報,,,,,,,,,,,
# 工事名,件名,品番,柱マーク,柱型,鋼種,寸法,数量,作成日,会社名,備考,
# 横浜みなとみらいセンタータワー 【26-0045】 C工区,オフィスビル,③-5,K-3CXYF20,□-0800,SN490B,□800 × 800 × 40 / 40 × 6,500,1,2026/09/04,カルテック,検査完了 (一部許容値外あり)
,,,,,,,,,,,
section,item_id,item_name,sub_category,design_value,measured_value,tol_min,tol_max,unit,,,
全長,L,全長,,6500.0,6505.0,-3.0,3.0,mm,,,
ダイアフラム位置,D1,ダイアフラム ①,,1200.0,1199.5,-3.0,3.0,mm,,,
ダイアフラム位置,D2,ダイアフラム ②,,2400.0,2401.0,-3.0,3.0,mm,,,
ダイアフラム位置,D3,ダイアフラム ③,,3600.0,3600.0,-3.0,3.0,mm,,,
ダイアフラム位置,D4,ダイアフラム ④,,4800.0,4799.0,-3.0,3.0,mm,,,
柱頭・柱脚,C_TOP_N,N方向,柱頭,800.0,801.0,-3.0,3.0,mm,,,
柱頭・柱脚,C_TOP_S,S方向,柱頭,800.0,799.0,-3.0,3.0,mm,,,
柱頭・柱脚,C_TOP_E,E方向,柱頭,800.0,802.0,-3.0,3.0,mm,,,
柱頭・柱脚,C_TOP_W,W方向,柱頭,800.0,800.0,-3.0,3.0,mm,,,
柱頭・柱脚,C_BOT_N,N方向,柱脚,800.0,801.5,-3.0,3.0,mm,,,
柱頭・柱脚,C_BOT_S,S方向,柱脚,800.0,802.0,-3.0,3.0,mm,,,
柱頭・柱脚,C_BOT_E,E方向,柱脚,800.0,805.0,-3.0,3.0,mm,,,
柱頭・柱脚,C_BOT_W,W方向,柱脚,800.0,801.0,-3.0,3.0,mm,,,
曲り・ねじれ,B_E,E面,曲り,0.0,-5.2,-4.5,4.5,mm,,,
曲り・ねじれ,B_S,S面,曲り,0.0,0.5,-4.5,4.5,mm,,,
曲り・ねじれ,T_DELTA,δ (ねじれ),ねじれ,0.0,2.5,0.0,5.0,mm,,,
